Critic ID,Movie ID,Rating
1,1,-1
2,1,4
3,1,-1
4,1,5
5,1,4
6,1,4
7,1,4
8,1,-1
9,1,4
10,1,4
11,1,5
12,1,-1
13,1,5
14,1,4
15,1,4
16,1,-1
1,2,-1
2,2,5
3,2,5
4,2,4
5,2,-1
6,2,-1
7,2,4
8,2,-1
9,2,4
10,2,3
11,2,5
12,2,-1
13,2,5
14,2,-1
15,2,5
16,2,-1
1,3,-1
2,3,4
3,3,-1
4,3,-1
5,3,2
6,3,3
7,3,4
8,3,-1
9,3,1
10,3,5
11,3,5
12,3,4
13,3,5
14,3,-1
15,3,3
16,3,5
1,4,4
2,4,3
3,4,-1
4,4,-1
5,4,-1
6,4,3
7,4,2
8,4,-1
9,4,-1
10,4,5
11,4,5
12,4,5
13,4,4
14,4,-1
15,4,3
16,4,5
1,5,-1
2,5,2
3,5,-1
4,5,-1
5,5,2
6,5,4
7,5,2
8,5,-1
9,5,-1
10,5,2
11,5,-1
12,5,-1
13,5,4
14,5,-1
15,5,3
16,5,-1
1,6,4
2,6,3
3,6,5
4,6,5
5,6,5
6,6,-1
7,6,4
8,6,4
9,6,5
10,6,3
11,6,4
12,6,3
13,6,5
14,6,4
15,6,-1
16,6,-1
